Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.33      0.06     0.06    10001     0.01     0.01  cell_array::diffusionmove(int, int, int, int, int)
 27.78      0.11     0.05 28978687     0.00     0.00  std::vector<diffusionstore2, std::allocator<diffusionstore2> >::operator[](unsigned long)
 11.11      0.13     0.02    25818     0.00     0.00  diffusionstore&& std::forward<diffusionstore>(std::remove_reference<diffusionstore>::type&)
  5.56      0.14     0.01  1539488     0.00     0.00  vector1<int>::operator[](int)
  5.56      0.15     0.01   299370     0.00     0.00  Subdiffusion::generate_initial()
  5.56      0.16     0.01    40002     0.00     0.00  std::vector<diffusionstore, std::allocator<diffusionstore> >::operator[](unsigned long)
  5.56      0.17     0.01    11894     0.00     0.00  diffusionstore2* std::__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<diffusionstore2>(diffusionstore2 const*, diffusionstore2 const*, diffusionstore2*)
  2.78      0.17     0.01  1278217     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >::operator--()
  2.78      0.18     0.01                             void std::_Destroy<matrix<double> >(matrix<double>*)
  0.00      0.18     0.00  4872025     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >::operator*() const
  0.00      0.18     0.00  2128366     0.00     0.00  diffusionstore::operator<(diffusionstore const&)
  0.00      0.18     0.00  1700909     0.00     0.00  std::remove_reference<diffusionstore&>::type&& std::move<diffusionstore&>(diffusionstore&)
  0.00      0.18     0.00  1618319     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >::base() const
  0.00      0.18     0.00  1280124     0.00     0.00  matrix<cell>::operator()(int, int)
  0.00      0.18     0.00  1001248     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<diffusionstore, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > >(diffusionstore&, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >) const
  0.00      0.18     0.00   755318     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > >(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >) const
  0.00      0.18     0.00   691062     0.00     0.00  diffusionstore const& std::forward<diffusionstore const&>(std::remove_reference<diffusionstore const&>::type&)
  0.00      0.18     0.00   579899     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >::operator*() const
  0.00      0.18     0.00   560075     0.00     0.00  matrix<surface_interaction*>::operator()(int, int)
  0.00      0.18     0.00   558218     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >::operator++()
  0.00      0.18     0.00   521597     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >::__normal_iterator(diffusionstore* const&)
  0.00      0.18     0.00   506456     0.00     0.00  no_surface_interaction::operator()(int, int)
  0.00      0.18     0.00   408102     0.00     0.00  diffusionstore* std::__niter_base<diffusionstore*>(diffusionstore*)
  0.00      0.18     0.00   341757     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.18     0.00   329338     0.00     0.00  bool __gnu_cxx::operator!=<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > const&, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > const&)
  0.00      0.18     0.00   320999     0.00     0.00  diffusionstore2::operator<(diffusionstore2 const&)
  0.00      0.18     0.00   309371     0.00     0.00  void __gnu_cxx::new_allocator<diffusionstore>::construct<diffusionstore, diffusionstore const&>(diffusionstore*, diffusionstore const&)
  0.00      0.18     0.00   309371     0.00     0.00  void std::allocator_traits<std::allocator<diffusionstore> >::construct<diffusionstore, diffusionstore const&>(std::allocator<diffusionstore>&, diffusionstore*, diffusionstore const&)
  0.00      0.18     0.00   299370     0.00     0.00  std::vector<diffusionstore, std::allocator<diffusionstore> >::push_back(diffusionstore const&)
  0.00      0.18     0.00   294856     0.00     0.00  std::vector<diffusionstore, std::allocator<diffusionstore> >::size() const
  0.00      0.18     0.00   272225     0.00     0.00  __gnu_cxx::__ops::__val_comp_iter(__gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.18     0.00   262231     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__ops::_Val_less_iter)
  0.00      0.18     0.00   228639     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >::base() const
  0.00      0.18     0.00   215314     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >::operator+(long) const
  0.00      0.18     0.00   191142     0.00     0.00  __gnu_cxx::new_allocator<diffusionstore>::_M_max_size() const
  0.00      0.18     0.00   188560     0.00     0.00  diffusionstore* std::__niter_base<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >)
  0.00      0.18     0.00   184402     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >::__normal_iterator(diffusionstore2* const&)
